ADJ,ADV,CONJ,NOUN,NUM,VERB,COMMA,FULLSTOP,SPECIAL-,FUNCTION-A,FUNCTION-IN,FUNCTION-OF,FUNCTION-THE,uppercase_freq,flesch_reading_ease,avg_word_length,avg_sentence_length,text_perplexity,avg_sentence_perplexity,prompt_text_cosine_similarity,avg_sentence_cosine_similarity,tf_idfs_get,tf_idfs_like,tf_idfs_sum,tf_idfs_summary,tf_idfs_overall,tf_idfs_summarize,tf_idfs_dont,tf_idfs_say,tf_idfs_im,tf_idfs_look,tf_idfs_said,tf_idfs_know,tf_idfs_think,tf_idfs_summarise,tf_idfs_end,tf_idfs_conclude,tf_idfs_told,tf_idfs_conclusion,tf_idfs_finale,text_sentiment_roberta,label
8,5,1,14,0,3,3,2,1,1,1,3,2,0.00617284,30.7,5.666666667,27,1.003999114,1.002735853,0.97143513,0.989272118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,4,0,1,0,1,0,0,0,1,0,0.014705882,-4.33,6.666666667,10,2.102462292,2.102462292,0.979563475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,13,0,1,0,2,1,1,1,3,3,0.0078125,18.86,5.710526316,20.5,1.002651453,1.001214981,0.972121716,0.980894506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,9,0,5,1,2,1,0,1,1,2,0.022727273,15.31,5.8,24.5,1.007458448,1.020063818,0.977655351,0.984908164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
3,0,0,5,0,3,1,1,0,1,0,2,1,0.027586207,24.78,5.857142857,23,1.004487514,1.004487514,0.982491612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5,0,2,0,1,0,0,3,2,2,0.081481481,55.58,4.625,25,1.156303763,1.156303763,0.975081921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
11,3,5,17,0,9,4,3,0,1,1,4,4,0.067924528,27.15,5.365853659,30.66666667,1.173091531,1.112413923,0.955877304,0.981889457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,12,0,4,0,2,0,0,1,1,4,0.019762846,43.73,5.631578947,20,1.005216599,1.00424999,0.971520782,0.981092334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,3,1,8,0,2,2,2,0,1,0,3,3,0.027874564,40.18,5.311111111,24.5,1.059141278,1.019622028,0.955299437,0.982096791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,16,1,3,1,2,0,2,1,3,2,0.040935673,44.58,5.181818182,30,1.013275862,1.189590931,0.98181355,0.985676587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
8,2,2,13,1,2,3,2,0,0,1,3,0,0.007434944,42.72,5.625,22.5,1.009071469,1.007374823,0.973174095,0.982122898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
10,1,5,18,2,7,0,4,0,2,3,1,2,0.018348624,21.9,5.703125,18,1.185084581,1.082954317,0.969397426,0.962589661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,2,18,1,9,3,3,1,1,1,2,3,0.039534884,25.49,5.85483871,23,1.131137371,1.043671608,0.972230315,0.985683799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,3,18,0,4,4,2,1,0,1,1,2,0.00530504,26.64,5.543859649,32,1.115102172,1.053521216,0.958199561,0.979282975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2,8,0,6,1,2,0,1,0,2,2,0.014652015,34.26,5.775,21.5,1.020682454,1.005396187,0.983602405,0.985661328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,11,1,2,1,1,2,2,1,1,1,0.022988506,25.12,4.580645161,35,1.018843174,1.018843174,0.987328947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,6,0,1,1,1,0,0,0,2,3,0.034482759,59.64,4.75,22,1.000546098,1.000546098,0.970820248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,13,0,7,0,3,0,0,0,1,1,0.01048951,49.52,6.1,14.33333333,1.004555583,1.018191059,0.980891585,0.97308892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
8,1,2,14,0,4,1,3,0,2,1,0,0,0.009584665,47.49,5.739130435,16.66666667,1.148344278,1.031800469,0.977742136,0.980934203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,13,0,3,2,1,0,2,1,3,2,0.00729927,-2.97,5.8,43,1.002001405,1.002001405,0.976901293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,1,18,3,3,0,3,1,2,2,2,2,0.018561485,17.34,6.032786885,21.66666667,1.101524472,1.082992474,0.982440889,0.982464671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,2,2,22,0,7,6,4,2,1,1,4,9,0.020618557,43.93,5.181818182,22.25,1.209660649,1.236580312,0.980787516,0.978493412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,16,0,9,1,3,2,1,0,2,1,0.021834061,9.59,6.583333333,22,1.169462919,1.209962885,0.977858186,0.985316217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,1,11,0,2,1,2,0,1,1,3,1,0.050458716,36.28,5,19.5,1.001009941,1.001114488,0.988694668,0.98560673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
6,0,5,15,0,4,1,2,1,0,0,2,3,0.007272727,33.24,5.348837209,23.5,1.101154685,1.027655244,0.978059232,0.984205008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
1,2,1,4,1,2,1,1,0,0,0,2,0,0.031914894,54.22,4.411764706,20,1.418555856,1.418555856,0.975185871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,19,0,4,5,3,0,0,1,1,3,0.065420561,17.34,6.016666667,22.66666667,1.031497359,1.049641212,0.984576762,0.984873712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
4,0,2,11,0,4,0,1,0,2,1,2,0,0.057416268,36.97,5.147058824,35,1.006358027,1.006358027,0.987294614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
5,1,3,21,3,8,5,3,4,4,0,0,0,0.022058824,51.89,5.467741935,24.66666667,1.172543883,1.065381487,0.908882856,0.953392625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1,0,10,0,3,0,2,0,0,0,2,1,0.010695187,25.46,6.75,13,1.109552145,1.021713912,0.981662393,0.976329863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,11,0,3,0,2,1,0,4,3,1,0.056277056,37.3,5.571428571,19,1.010843277,1.006446123,0.989023924,0.98657167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,2,16,0,5,1,2,0,0,0,1,2,0.023529412,22.24,6.191489362,25,1.358228683,1.341471314,0.971829474,0.986944437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,4,29,0,11,0,7,1,3,4,6,3,0.00879397,37.4,5.638655462,18.14285714,1.002637267,1.002433283,0.965294421,0.973265668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,4,21,0,10,1,3,0,0,0,2,3,0.005504587,4.1,6.324324324,26,1.001675487,1.017352303,0.977782488,0.972080529,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
13,0,3,25,3,6,5,3,1,2,1,5,1,0.005576208,13.99,6.478873239,26.66666667,1.026388168,1.014598449,0.937485039,0.984214693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,3,15,0,1,3,2,1,0,1,3,1,0.017605634,48.64,5.086956522,26,1.449225187,1.308759868,0.955003083,0.975136757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,13,0,3,2,2,0,2,1,1,0,0.008,27.83,5.861111111,20,1.004007816,1.006947935,0.98529458,0.962381482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0,1,7,0,2,1,1,0,2,0,1,0,0.005128205,26.14,5.928571429,30,1.000954866,1.000954866,0.988406777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,9,0,4,1,1,0,1,2,1,1,0.077777778,18.69,5.172413793,33,1.000727773,1.000727773,0.96295017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,5,1,2,0,2,1,0,0,3,0,0.067264574,56.11,5.083333333,21.5,1.00237596,1.004015684,0.979895413,0.98728931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
2,2,1,6,0,6,0,1,0,1,0,2,0,0.068062827,36.97,4.617647059,35,1.006042242,1.006042242,0.983782649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
7,4,1,20,0,6,2,2,0,1,0,5,2,0.005,16.66,5.844827586,31,1.003453612,1.489892185,0.974363446,0.981477737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,14,0,4,1,3,0,3,1,1,1,0.00974026,22.71,5.931818182,16,1.012090564,1.350577593,0.966902435,0.978386581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
9,4,2,32,1,7,2,4,0,1,1,1,4,0.009259259,42.21,5.369047619,23,1.006424069,1.016254067,0.968700051,0.978902916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,5,0,1,0,2,0,1,1,1,0,0.055214724,25.96,6.043478261,12.5,1.001252055,1.003901899,0.985925555,0.98380214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,2,25,0,6,1,3,2,0,1,2,2,0.044025157,32.9,5.941176471,25.66666667,1.00440073,1.020193577,0.970094621,0.963375241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,11,0,1,0,2,0,0,0,2,0,0.01010101,7.52,6.576923077,14,1.029123902,1.033900678,0.990119278,0.979533494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,16,0,7,4,2,0,0,3,3,3,0.005730659,20.21,5.745098039,28.5,1.002047062,1.001627743,0.984134912,0.984899879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2,1,11,0,2,1,2,0,1,0,1,5,0.04950495,54.22,4.714285714,19.5,1.181159139,1.164637387,0.982412755,0.986432672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,13,0,4,0,2,1,0,3,0,3,0.01659751,27.83,5.486486486,20,1.033149481,1.015410781,0.972472668,0.971488118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2,4,17,0,5,3,2,0,1,2,4,1,0.005420054,-3.15,6.765957447,26,1.184317112,1.144921541,0.973594666,0.975839436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,1,2,21,1,5,1,2,1,1,0,4,1,0.005012531,33.58,5.451612903,33,1.053002477,1.046438575,0.972384214,0.976017118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,0,9,0,4,1,2,0,0,1,4,0,0.019607843,42.38,6.027777778,19.5,1.007355332,1.026125968,0.978204906,0.985321701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
5,1,0,11,0,3,0,2,0,0,0,3,1,0.007782101,-12.45,7,17,1.001259804,1.000842869,0.990316927,0.97918129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,14,0,8,1,2,0,1,1,0,0,0.007874016,28.33,6.2,19,1.006800652,1.014194846,0.950672388,0.970562696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,21,0,5,2,2,2,1,0,4,1,0.00729927,26.3,5.452380952,24.5,1.00132978,1.000922322,0.984876394,0.983541489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1,9,0,3,0,1,0,0,1,3,1,0.023364486,6.17,5.903225806,32,1.389105678,1.389105678,0.95801276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,10,0,3,2,1,0,1,0,2,2,0.005747126,29.18,5.88,28,1.001297712,1.001297712,0.984206438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,18,0,6,1,2,1,1,1,0,2,0.005934718,22.24,5.9375,27,1.003414392,1.001820683,0.982135415,0.985936284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0,1,13,0,0,3,1,0,0,1,5,1,0.005181347,25.12,5.551724138,33,1.023602486,1.023602486,0.974638462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,11,5,4,0,2,1,0,1,0,0,0.029850746,27.32,5.675,22.5,1.012152672,1.071123898,0.979693234,0.988674998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,11,0,3,3,1,1,2,1,2,1,0.004149378,31.89,4.804878049,47,1.006930709,1.006930709,0.982685626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,6,0,3,1,1,1,1,0,2,2,0.041666667,76.22,4.72,14,1.237025857,1.036442339,0.981105447,0.973471701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
7,0,3,17,0,6,0,3,0,1,2,3,0,0.042944785,46.06,5.230769231,19,1.16358304,1.110067725,0.979401946,0.977641881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,16,0,4,0,2,1,0,1,2,0,0.008438819,13.95,6.580645161,17.5,1.001233459,1.002879858,0.977248788,0.985351801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,11,0,5,0,3,0,1,1,3,0,0.012195122,34.22,5.971428571,12.66666667,1.004533172,1.004935225,0.985189915,0.974596202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,6,32,0,9,7,5,1,4,1,4,4,0.013513514,26.4,5.595959596,23,1.069985628,1.085654616,0.960198164,0.968740731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,19,0,4,1,2,0,0,1,2,1,0.005763689,5.32,6.340425532,25,1.001656294,1.004641891,0.957574666,0.983461976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,3,16,0,5,1,2,0,0,3,3,1,0.024096386,28.17,5.346153846,27.5,1.000888348,1.025041461,0.984509528,0.985714376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
